rank,location,total_violations,hotspot_score,severity,description
14,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1940,47.43,MEDIUM,High parking violation zone requiring enforcement attention.
15,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1924,47.04,MEDIUM,High parking violation zone requiring enforcement attention.
16,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",1869,45.7,MEDIUM,High parking violation zone requiring enforcement attention.
17,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",1857,45.4,MEDIUM,High parking violation zone requiring enforcement attention.
18,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1797,43.94,MEDIUM,High parking violation zone requiring enforcement attention.
19,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",1743,42.62,MEDIUM,High parking violation zone requiring enforcement attention.
20,"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",1529,37.38,MEDIUM,High parking violation zone requiring enforcement attention.
21,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",1514,37.02,MEDIUM,High parking violation zone requiring enforcement attention.
22,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1448,35.4,MEDIUM,High parking violation zone requiring enforcement attention.
23,"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1319,32.25,MEDIUM,High parking violation zone requiring enforcement attention.
24,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1318,32.22,MEDIUM,High parking violation zone requiring enforcement attention.
25,"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",1315,32.15,MEDIUM,High parking violation zone requiring enforcement attention.
26,"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",1274,31.15,MEDIUM,High parking violation zone requiring enforcement attention.
27,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",1219,29.8,MEDIUM,High parking violation zone requiring enforcement attention.
28,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1219,29.8,MEDIUM,High parking violation zone requiring enforcement attention.
29,"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1171,28.63,MEDIUM,High parking violation zone requiring enforcement attention.
30,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",1088,26.6,MEDIUM,High parking violation zone requiring enforcement attention.
31,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1085,26.53,MEDIUM,High parking violation zone requiring enforcement attention.
32,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1077,26.33,MEDIUM,High parking violation zone requiring enforcement attention.
33,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1066,26.06,MEDIUM,High parking violation zone requiring enforcement attention.
34,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1043,25.5,MEDIUM,High parking violation zone requiring enforcement attention.
35,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1022,24.99,MEDIUM,High parking violation zone requiring enforcement attention.
36,"Mysore Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1002,24.5,MEDIUM,High parking violation zone requiring enforcement attention.
37,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",987,24.13,MEDIUM,High parking violation zone requiring enforcement attention.
38,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",978,23.91,MEDIUM,High parking violation zone requiring enforcement attention.
39,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",961,23.5,MEDIUM,High parking violation zone requiring enforcement attention.
40,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",948,23.18,MEDIUM,High parking violation zone requiring enforcement attention.
41,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",948,23.18,MEDIUM,High parking violation zone requiring enforcement attention.
42,"Sahakar Nagar Road, Olivia, Raintree Boulevard, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",944,23.08,MEDIUM,High parking violation zone requiring enforcement attention.
43,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",941,23.01,MEDIUM,High parking violation zone requiring enforcement attention.
44,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",912,22.3,MEDIUM,High parking violation zone requiring enforcement attention.
45,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",897,21.93,MEDIUM,High parking violation zone requiring enforcement attention.
46,"19th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",894,21.86,MEDIUM,High parking violation zone requiring enforcement attention.
47,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",885,21.64,MEDIUM,High parking violation zone requiring enforcement attention.
48,"1st Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",884,21.61,MEDIUM,High parking violation zone requiring enforcement attention.
49,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",883,21.59,MEDIUM,High parking violation zone requiring enforcement attention.
50,"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",868,21.22,MEDIUM,High parking violation zone requiring enforcement attention.
51,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",863,21.1,MEDIUM,High parking violation zone requiring enforcement attention.
52,"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",844,20.64,MEDIUM,High parking violation zone requiring enforcement attention.
53,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",821,20.07,MEDIUM,High parking violation zone requiring enforcement attention.
54,"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",813,19.88,MEDIUM,High parking violation zone requiring enforcement attention.
55,"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",800,19.56,MEDIUM,High parking violation zone requiring enforcement attention.
56,"WOC Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",800,19.56,MEDIUM,High parking violation zone requiring enforcement attention.
57,"Subedar Chatram Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",798,19.51,MEDIUM,High parking violation zone requiring enforcement attention.
58,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",776,18.97,MEDIUM,High parking violation zone requiring enforcement attention.
59,"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",766,18.73,MEDIUM,High parking violation zone requiring enforcement attention.
60,"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",765,18.7,MEDIUM,High parking violation zone requiring enforcement attention.
61,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",756,18.48,MEDIUM,High parking violation zone requiring enforcement attention.
62,"Y Ramachandra Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",755,18.46,MEDIUM,High parking violation zone requiring enforcement attention.
63,"Cunningham Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",754,18.44,MEDIUM,High parking violation zone requiring enforcement attention.
64,"AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",735,17.97,MEDIUM,High parking violation zone requiring enforcement attention.
65,"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",716,17.51,MEDIUM,High parking violation zone requiring enforcement attention.
66,"2nd Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",712,17.41,MEDIUM,High parking violation zone requiring enforcement attention.
67,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",710,17.36,MEDIUM,High parking violation zone requiring enforcement attention.
68,"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",709,17.33,MEDIUM,High parking violation zone requiring enforcement attention.
69,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",688,16.82,MEDIUM,High parking violation zone requiring enforcement attention.
70,"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",680,16.63,MEDIUM,High parking violation zone requiring enforcement attention.
71,"Pipeline Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",678,16.58,MEDIUM,High parking violation zone requiring enforcement attention.
72,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",677,16.55,MEDIUM,High parking violation zone requiring enforcement attention.
73,"Silver Jubilee Park Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",669,16.36,MEDIUM,High parking violation zone requiring enforcement attention.
74,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",638,15.6,MEDIUM,High parking violation zone requiring enforcement attention.
75,"Kalasipalyam Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",633,15.48,MEDIUM,High parking violation zone requiring enforcement attention.
76,"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",626,15.31,MEDIUM,High parking violation zone requiring enforcement attention.
77,"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",619,15.13,MEDIUM,High parking violation zone requiring enforcement attention.
78,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",614,15.01,MEDIUM,High parking violation zone requiring enforcement attention.
79,"Y Ramachandra Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",611,14.94,MEDIUM,High parking violation zone requiring enforcement attention.
80,"BGS Flyover, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",608,14.87,MEDIUM,High parking violation zone requiring enforcement attention.
81,"Hospital Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",604,14.77,MEDIUM,High parking violation zone requiring enforcement attention.
82,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",604,14.77,MEDIUM,High parking violation zone requiring enforcement attention.
83,"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",595,14.55,MEDIUM,High parking violation zone requiring enforcement attention.
84,"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",594,14.52,MEDIUM,High parking violation zone requiring enforcement attention.
85,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",594,14.52,MEDIUM,High parking violation zone requiring enforcement attention.
86,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",586,14.33,MEDIUM,High parking violation zone requiring enforcement attention.
87,"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",576,14.08,MEDIUM,High parking violation zone requiring enforcement attention.
88,"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",573,14.01,MEDIUM,High parking violation zone requiring enforcement attention.
89,"2nd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",565,13.81,MEDIUM,High parking violation zone requiring enforcement attention.
90,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",561,13.72,MEDIUM,High parking violation zone requiring enforcement attention.
91,"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",558,13.64,MEDIUM,High parking violation zone requiring enforcement attention.
92,"Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",549,13.42,MEDIUM,High parking violation zone requiring enforcement attention.
93,"GP Rajarathnam Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",548,13.4,MEDIUM,High parking violation zone requiring enforcement attention.
94,"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",523,12.79,MEDIUM,High parking violation zone requiring enforcement attention.
95,"G Narayana Kumar Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",521,12.74,MEDIUM,High parking violation zone requiring enforcement attention.
96,"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",519,12.69,MEDIUM,High parking violation zone requiring enforcement attention.
97,"Da Ra Bendre Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",506,12.37,MEDIUM,High parking violation zone requiring enforcement attention.
98,"Veera Pillai Street, Nethaji Subhas Chadra Bose Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",505,12.35,MEDIUM,High parking violation zone requiring enforcement attention.
99,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",498,12.18,MEDIUM,High parking violation zone requiring enforcement attention.
100,"Major T Ramachandrappa Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",496,12.13,MEDIUM,High parking violation zone requiring enforcement attention.
101,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",494,12.08,MEDIUM,High parking violation zone requiring enforcement attention.
102,"5th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",491,12.0,MEDIUM,High parking violation zone requiring enforcement attention.
103,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",484,11.83,MEDIUM,High parking violation zone requiring enforcement attention.
104,"AS Char Main Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",474,11.59,MEDIUM,High parking violation zone requiring enforcement attention.
105,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",469,11.47,MEDIUM,High parking violation zone requiring enforcement attention.
106,"Unnamed Road, Jagajothi Nagar, Muthugada Halli, Bengaluru, Karnataka. Pin-562157 (India)",469,11.47,MEDIUM,High parking violation zone requiring enforcement attention.
107,"Major T Ramachandrappa Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",462,11.3,MEDIUM,High parking violation zone requiring enforcement attention.
108,"Sahakar Nagar Road, L&T Realty Elara Celestia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",457,11.17,MEDIUM,High parking violation zone requiring enforcement attention.
109,"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",455,11.12,MEDIUM,High parking violation zone requiring enforcement attention.
110,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",455,11.12,MEDIUM,High parking violation zone requiring enforcement attention.
111,"Neeladri Road, Neeladri Nagar, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",445,10.88,MEDIUM,High parking violation zone requiring enforcement attention.
112,"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",443,10.83,MEDIUM,High parking violation zone requiring enforcement attention.
113,"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",442,10.81,MEDIUM,High parking violation zone requiring enforcement attention.
114,"Vajreshwari Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",436,10.66,MEDIUM,High parking violation zone requiring enforcement attention.
115,"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",434,10.61,MEDIUM,High parking violation zone requiring enforcement attention.
116,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",432,10.56,MEDIUM,High parking violation zone requiring enforcement attention.
117,"Chord Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",430,10.51,MEDIUM,High parking violation zone requiring enforcement attention.
118,"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",430,10.51,MEDIUM,High parking violation zone requiring enforcement attention.
119,"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",423,10.34,MEDIUM,High parking violation zone requiring enforcement attention.
120,"18th Cross Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",422,10.32,MEDIUM,High parking violation zone requiring enforcement attention.
121,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",420,10.27,MEDIUM,High parking violation zone requiring enforcement attention.
122,"Ayyappa Temple Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",418,10.22,MEDIUM,High parking violation zone requiring enforcement attention.
123,"Da Ra Bendre Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",414,10.12,MEDIUM,High parking violation zone requiring enforcement attention.
124,"Unnamed Road, Chikkanahalli North Taluka, Bengaluru, Karnataka. Pin-562149 (India)",414,10.12,MEDIUM,High parking violation zone requiring enforcement attention.
125,"Major T Ramachandrappa Road, Subash Nagar, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",411,10.05,MEDIUM,High parking violation zone requiring enforcement attention.
126,"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",409,10.0,MEDIUM,High parking violation zone requiring enforcement attention.
127,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",399,9.76,MEDIUM,High parking violation zone requiring enforcement attention.
128,"4th Main Road, KPA Block, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",398,9.73,MEDIUM,High parking violation zone requiring enforcement attention.
129,"Sri Venkataranga Ayangar Road, Mill Corner Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",397,9.71,MEDIUM,High parking violation zone requiring enforcement attention.
130,"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",397,9.71,MEDIUM,High parking violation zone requiring enforcement attention.
131,"Commercial Street, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",386,9.44,MEDIUM,High parking violation zone requiring enforcement attention.
132,"Da Ra Bendre Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",385,9.41,MEDIUM,High parking violation zone requiring enforcement attention.
133,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",384,9.39,MEDIUM,High parking violation zone requiring enforcement attention.
134,"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",383,9.36,MEDIUM,High parking violation zone requiring enforcement attention.
135,"Gangadhara Chetty Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",377,9.22,MEDIUM,High parking violation zone requiring enforcement attention.
136,"Sri DV Gundappa Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",375,9.17,MEDIUM,High parking violation zone requiring enforcement attention.
137,"5th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",375,9.17,MEDIUM,High parking violation zone requiring enforcement attention.
138,"St John Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",374,9.14,MEDIUM,High parking violation zone requiring enforcement attention.
139,"17th Cross Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",373,9.12,MEDIUM,High parking violation zone requiring enforcement attention.
140,"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",373,9.12,MEDIUM,High parking violation zone requiring enforcement attention.
141,"Mahatma Gandhi Road, WEBBS Circle Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",373,9.12,MEDIUM,High parking violation zone requiring enforcement attention.
142,"Old Madras Road, Gopalan Signature Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",372,9.1,MEDIUM,High parking violation zone requiring enforcement attention.
143,"3rd Cross Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",372,9.1,MEDIUM,High parking violation zone requiring enforcement attention.
144,"Sri Venkataranga Ayangar Road, Shivanandappa Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",372,9.1,MEDIUM,High parking violation zone requiring enforcement attention.
145,"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",368,9.0,MEDIUM,High parking violation zone requiring enforcement attention.
146,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",365,8.92,MEDIUM,High parking violation zone requiring enforcement attention.
147,"MBT Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",365,8.92,MEDIUM,High parking violation zone requiring enforcement attention.
148,"1st Cross Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",362,8.85,MEDIUM,High parking violation zone requiring enforcement attention.
149,"5th Main Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",357,8.73,MEDIUM,High parking violation zone requiring enforcement attention.
150,"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",349,8.53,MEDIUM,High parking violation zone requiring enforcement attention.
151,"Outer Ring Road, Citilights Liberty Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",347,8.48,MEDIUM,High parking violation zone requiring enforcement attention.
152,"Midford Garden Lane, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",346,8.46,MEDIUM,High parking violation zone requiring enforcement attention.
153,"P&T Road, BSNL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",346,8.46,MEDIUM,High parking violation zone requiring enforcement attention.
154,"MPV Road, Chandni Chowk, Bengaluru, Karnataka. Pin-560051 (India)",345,8.44,MEDIUM,High parking violation zone requiring enforcement attention.
155,"Siddavanahalli Krishna Sharma Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",345,8.44,MEDIUM,High parking violation zone requiring enforcement attention.
156,"Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",341,8.34,MEDIUM,High parking violation zone requiring enforcement attention.
157,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",333,8.14,MEDIUM,High parking violation zone requiring enforcement attention.
158,"2nd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",333,8.14,MEDIUM,High parking violation zone requiring enforcement attention.
