location,date,violation_count,anomaly
"10th B Main Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",2024-02-09,1,1
"10th C Cross Road, Shankarmata Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560086 (India)",2024-04-04,1,1
"10th C Main Road, Gubbanna Industrial Estate, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-25,1,1
"10th C Main Road, Gubbanna Industrial Estate, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-22,1,1
"10th C Main Road, Prasanna Theatre Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-06,1,1
"10th C Main Road, Siddapura Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",2024-03-30,3,1
"10th C Main Road, Siddapura Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",2024-04-06,4,1
"10th C Main Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-22,1,1
"10th C Main Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-06,3,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-02-04,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-02-10,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-02-15,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-02-26,2,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-03-06,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-03-13,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-03-29,4,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-03-30,3,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-04-01,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-04-02,2,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-04-03,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-04-04,1,1
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-04-05,1,1
"10th Cross Road, Ahmed Nagar, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560039 (India)",2024-03-17,2,1
"10th Cross Road, Annayappa Colony, HAL Stage 3, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",2024-02-14,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2023-11-29,38,-1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2023-12-01,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2023-12-04,21,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-05,7,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-12,4,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-22,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-23,12,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-27,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-29,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-30,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-31,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-01,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-02,5,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-04,2,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-05,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-06,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-07,2,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-08,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-09,7,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-10,4,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-13,11,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-14,18,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-15,10,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-16,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-17,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-18,19,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-19,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-21,2,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-24,6,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-25,6,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-26,8,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-27,4,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-29,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-08,2,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-14,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-16,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-18,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-20,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-22,2,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-29,20,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-30,3,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-31,1,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-01,6,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-02,2,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-03,6,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-04,4,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-05,6,1
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-07,10,1
"10th Cross Road, Block 1N, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-05,1,1
"10th Cross Road, Block E, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",2024-02-07,2,1
"10th Cross Road, Block E, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",2024-03-14,1,1
"10th Cross Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-07,1,1
"10th Cross Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-15,1,1
"10th Cross Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-31,2,1
"10th Cross Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-05,3,1
"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2023-11-30,1,1
"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-29,1,1
"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-18,8,1
"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-24,1,1
"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-15,1,1
"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-17,2,1
"10th Cross Road, Fast Print Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",2024-02-29,1,1
"10th Cross Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",2024-02-07,1,1
"10th Cross Road, Ganapathinagar, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",2024-02-09,1,1
"10th Cross Road, Hemant Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2024-01-20,1,1
"10th Cross Road, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-01-25,2,1
"10th Cross Road, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2024-03-30,4,1
"10th Cross Road, Kaniyar Colony, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",2024-03-05,1,1
"10th Cross Road, Kempegowda Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",2024-02-04,1,1
"10th Cross Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",2024-03-31,1,1
"10th Cross Road, Purva Sunflower, Shankarappa Garden, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",2024-02-06,2,1
"10th Cross Road, Ramesh Babu Circle, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",2024-02-10,3,1
"10th Cross Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",2024-03-29,1,1
"10th Cross Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",2024-02-09,1,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-05,3,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-12,6,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-23,5,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-31,1,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-13,2,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-15,7,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-19,5,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-25,1,1
"10th Cross Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-27,8,1
"10th Cross Road, Vinayaka Nagara, Wilson Garden, Hombegowda Nagara, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560030, India",2023-12-18,1,1
"10th Cross Road, Vinayaka Nagara, Wilson Garden, Hombegowda Nagara, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560030, India",2024-01-11,1,1
"10th Cross Road, Whispering Meadows, Dollars Colony, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",2024-02-17,9,1
"10th Cross Road, Whispering Meadows, Dollars Colony, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",2024-04-01,1,1
"10th Cross Road, Whispering Meadows, Dollars Colony, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",2024-04-02,1,1
"10th Cross Road, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",2024-02-04,1,1
"10th D Main Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-04-08,2,1
"10th G Main Road, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-14,1,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2023-11-19,1,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-03-30,1,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-03-31,1,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-04-03,1,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-04-04,6,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-04-05,1,1
"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-04-07,2,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-02-02,1,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-02-17,1,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-02-20,1,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-02-21,4,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-03-03,1,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-03-20,1,1
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-03-30,1,1
"10th Main Road, Banashankari 1st Stage, Ashoka Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560050, India",2024-01-30,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2023-11-30,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-25,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-27,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-29,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-30,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-01-31,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-01,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-02,5,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-03,4,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-04,8,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-06,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-07,6,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-08,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-14,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-16,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-17,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-18,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-21,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-22,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-23,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-24,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-02-29,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-01,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-02,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-03,2,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-04,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-05,1,1
"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2024-03-08,1,1
